,Composition,1-1-1 Reported Phase,Phase Separating Temperatures (Kelvin),Parse Error
275,NiSnTe,Phase separation,[813.],False
276,NiCuSi,Phase separation,[773.],False
277,GdMnB,Phase separation,[1073.],False
278,CdHgPb,Phase separation,[ nan  nan 440. 373. 339. 323. 313. 293. 240.],False
279,DyFeB,Phase separation,[1073. 1070.],False
280,ZnSnSb,Phase separation,[nan],False
281,CoPbTe,Phase separation,[nan],False
282,FeCoAl,Phase separation,[1400. 1000.  800.  300.  600.  600.  700.],False
283,TiNbCr,Phase separation,[2173. 2073. 1973. 1873. 1773. 1673. 1573.],False
284,AgPbTe,Phase separation,[ nan  nan 298.],False
285,NdMnNi,Phase separation,[nan],False
286,ErFeB,Phase separation,[1073.],False
287,FeCuSi,Phase separation,[1523. 1623. 1723.],False
289,NbVGe,Phase separation,[1120. 1123.],False
290,InGaSb,Phase separation,[nan],False
291,PrNiB,Phase separation,[nan],False
292,CdHgTe,Phase separation,[ 810.  930. 1140. 1230.   nan   nan],False
293,YMoB,Phase separation,[1273. 1273.],False
294,AuGeTe,Phase separation,[nan nan],False
295,TiVMo,Phase separation,[873. 723.],False
296,CdHgTl,Phase separation,[423. 401. 293. 261. 218.],False
297,GdCoSb,Phase separation,[773.],False
298,ReAlSi,Phase separation,[873.],False
299,VCuAl,Phase separation,[873.],False
300,DyVSi,Phase separation,[1200.],False
301,AuSiTe,Phase separation,[nan nan],False
302,ZnPbTe,Phase separation,[nan],False
303,ZnSnPb,Phase separation,[ nan 973. 873. 773. 723.],False
304,ScFeGa,Phase separation,[1068.],False
305,NdSbTe,Phase separation,[nan],False
306,HoFeSb,Phase separation,[773.],False
307,ErNiB,Phase separation,[1070.],False
308,GaPbSb,Phase separation,[nan],False
309,AgCdSn,Phase separation,[ nan 873. 773.],False
310,HoMoB,Phase separation,[1273.],False
311,DyCrB,Phase separation,[1070.],False
312,TlAsTe,Phase separation,[298.],False
313,CeCoZn,Phase separation,[470.],False
314,ScReB,Phase separation,[1273.],False
315,NbPdAl,Phase separation,[1373.],False
316,TiGaAs,Phase separation,[ 298. 1073.],False
317,TiCoB,Phase separation,[1073.],False
318,TiVAl,Phase separation,[  nan 1073.],False
319,CuSbTe,Phase separation,[573. 623. 673. 773. 873.],False
320,NdCuSb,Phase separation,[870.],False
321,CaFeSi,Phase separation,[  nan 1623.   nan 2073. 1873.],False
322,TaMoNi,Phase separation,[1173.],False
324,LaTiSi,Phase separation,[773.],False
325,NbNiSn,Phase separation,[773.],False
326,HfCrGa,Phase separation,[nan],False
327,SmCoB,Phase separation,[nan],False
328,NaSbTe,Phase separation,[nan],False
329,NiZnSi,Phase separation,[570.],False
330,MgMoNi,Phase separation,[725.],False
332,NbCrB,Phase separation,[1673.],False
333,FeNiAl,Phase separation,[ 298.  298. 1023.],False
334,MoGaAs,Phase separation,[1573. 1273. 1073. 1440. 1185. 1156.  298.  873.   nan],False
335,TiNbB,Phase separation,[1673. 3070. 2966. 2920. 2683. 2063.   nan   nan],False
336,IrRhPd,Phase separation,[1673. 1673.],False
337,ScReSi,Phase separation,[1073.],False
338,CdGaAs,Phase separation,[nan],False
339,PrMnB,Phase separation,[nan],False
340,HoOsGe,Phase separation,[870.],False
341,CeCrB,Phase separation,[1073.],False
342,NbGaAs,Phase separation,[873.],False
343,GdFeSb,Phase separation,[773.],False
344,AgHgSn,Phase separation,[ nan 343. 487. 440. 373. 357. 343. 373. 310.],False
345,TiNbW,Phase separation,[873.],False
346,InPbSb,Phase separation,[nan],False
347,NdGaSi,Phase separation,[870.],False
348,SiNO,Phase separation,[2120. 2125. 2135. 2155.],False
349,TmFeSi,Phase separation,[1073.],False
350,MoNiSn,Phase separation,[298.],False
351,NiGaTe,Phase separation,[nan],False
352,CdBiSb,Phase separation,[649.],False
353,MgNiCu,Phase separation,[673.],False
354,AuPbTe,Phase separation,[nan nan],False
355,YbGaTe,Phase separation,[nan],False
356,HfTaV,Phase separation,[1573. 1423.  298.],False
357,AlGaGe,Phase separation,[nan nan],False
358,HfTiAl,Phase separation,[1373.],False
360,TaCrW,Phase separation,[1773. 1273.],False
361,CuAlPb,Phase separation,[1323.],False
362,CdGeAs,Phase separation,[823.  nan 823.],False
363,ZrNbFe,Phase separation,[nan],False
364,SmBiTe,Phase separation,[nan],False
365,UWB,Phase separation,[1273.],False
366,CdSbTe,Phase separation,[623.],False
367,TmSbTe,Phase separation,[nan],False
368,AgAuSb,Phase separation,[ nan  nan  nan 613. 662. 613.],False
