,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
564,DyPdSn,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_9_CollCode630098.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_23_CollCode103348.cif', 'sd_0559168.cif', 'sd_1227702.cif', 'sd_0300464.cif']]",[['TiNiSi']]
565,ThBC,['P4122'],2,1,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode2368.cif', 'sd_1803123.cif']]","[[None, 'ThBC']]"
566,TmCuAl,"['Fd-3mS', 'P-62m']",4,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_76_CollCode199033.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_74_CollCode607167.cif']]","[['Laves(cub)#MgCu2'], ['ZrNiAl']]"
567,TiFeSb,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
568,ThNI,['P4/nmmS'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode35750.cif']],[['PrOI']]
569,PrAuSn,"['P63/mmc', 'P63mc']",2,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_80_CollCode612271.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_11_CollCode54997.cif']]","[['BeZrSi'], ['LiGaGe']]"
570,LiZnP,"['F-43m', 'Fm-3m']",6,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_5.zip_CollCode44824.cif', 'COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode642242.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_34_CollCode642242.cif', 'sd_1604389.cif', 'sd_1014422.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode76628.cif', 'sd_0541040.cif']]","[['MgAgAs', 'MgAgAs'], ['CaF2', 'MgAgAs']]"
571,RuPSe,['P121/c1'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_45_CollCode648027.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode648028.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_45_CollCode648028.cif']]",[['FeAsS#CoSb2']]
572,ThSeO,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_17_CollCode26654.cif']],[['PbClF']]
573,DySCl,['P121/c1'],3,1,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode417434.cif', 'sd_1819977.cif']]","[['ScOF', None]]"
574,URhAl,['P-62m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_39_CollCode106246.cif', 'sd_1010079.cif']]",[['ZrNiAl']]
575,CaCuSb,['P63/mmc'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode42137.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_57_CollCode659589.cif', 'sd_1006807.cif']]",[['BeZrSi']]
576,YbIrIn,['Pnma'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_48_CollCode433149.cif']],[['TiNiSi']]
577,HSrI,['P4/nmmS'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode25546.cif']],[['PrOI']]
578,CoNiP,['P-62m'],5,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode624449.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode15135.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_5_CollCode15135.cif', 'sd_0537006.cif', 'sd_0302937.cif']]",[['ZrNiAl']]
579,RbAuS,['Cmcm'],3,1,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_0.zip_CollCode71654.cif', 'sd_0303865.cif']]","[['RbAuS', 'KAuS']]"
580,CeAuAl,['Pnma'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_55_CollCode658143.cif']],[['TiNiSi']]
581,TaFeAs,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode610528.cif', 'sd_1006298.cif']]",[['TiNiSi']]
582,NaCuO,"['I-4', 'I-4m2', 'I4/mmm']",6,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_5_CollCode15099.cif', 'sd_1712574.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_46_CollCode49756.cif', 'sd_1706418.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode40157.cif', 'sd_1705441.cif']]","[['KCuO', None], ['LiCuO(I4-2m)', 'KAgO'], ['LiCuO', 'KAgO']]"
583,ErSeF,"['SG CONFLICT', 'SG CONFLICT']",3,2,[['SG CONFLICT']],[['SG CONFLICT']]
584,UAsS,"['P4/nmmS', 'P4/nmmZ']",6,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode87140.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode66945.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode42170.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_78_CollCode42170.cif']]","[['UP2#UAs2'], ['UP2#UAs2']]"
585,TaNiAl,['P63/mmc'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_82_CollCode199359.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_8_CollCode58054.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_77_CollCode608869.cif', 'sd_1701141.cif']]",[['MgZn2']]
586,SrAlSi,"['P-6m2', 'P6/mmm']",14,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_19_CollCode670639.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode162865.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode676594.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_44_CollCode162865.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_72_CollCode676594.cif', 'sd_1626951.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_49_CollCode166377.cif', 'sd_1223422.cif']]","[['LiBaSi', 'LiBaSi'], ['AlB2', 'LiBaSi']]"
587,CeIrSi,['P213'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_56_CollCode413854.cif', 'sd_1320706.cif']]",[['ZrSO']]
588,HoCoGe,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_91_CollCode623458.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_67_CollCode601867.cif', 'sd_0458941.cif']]",[['TiNiSi']]
589,ZrRuSi,['P-62m'],4,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode16306.cif', 'sd_0537001.cif']]",[['ZrNiAl']]
590,ThPS,['P4/nmmZ'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_23_CollCode154031.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_45_CollCode648065.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode648065.cif']]",[['PrOI']]
591,HoCoC,"['P4/mmm', 'P42/mmc']",4,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_83_CollCode76787.cif', 'sd_1802133.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode61688.cif', 'sd_1924431.cif']]","[['CoYC(tP3)', 'YCoC'], ['YCoC', 'YCoC']]"
592,ZrMnFe,['P63/mmc'],5,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_14_CollCode632608.cif', 'sd_0538912.cif']]",[['MgZn2']]
593,ScMnSi,['P-62m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_70_CollCode86369.cif', 'sd_1008846.cif']]",[['ZrNiAl']]
594,CaCoSi,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode428148.cif']],[['PbClF']]
595,SrCoO,['P63/mmc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_27_CollCode155223.cif']],[[None]]
596,MgMnGe,"['P4/nmmS', 'P4/nmmZ']",5,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_52_CollCode66952.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_52_CollCode66953.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_52_CollCode66948.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_80_CollCode87116.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_80_CollCode87117.cif']]","[['Cu2Sb'], ['Cu2Sb']]"
597,MnPtGa,"['SG CONFLICT', 'SG CONFLICT']",3,2,[['SG CONFLICT']],[['SG CONFLICT']]
598,CfOF,['Fm-3m'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_9.zip_CollCode27660.cif']],[['CaF2']]
599,NdSBr,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
600,UCuSn,['P63/mmc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_7_CollCode629297.cif']],[['BeZrSi']]
601,TbMnGa,"['SG CONFLICT', 'SG CONFLICT']",1,2,[['SG CONFLICT']],[['SG CONFLICT']]
602,ErZnAl,['P63/mmc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_75_CollCode607444.cif']],[['BeZrSi']]
603,DyNiGe,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
604,TaReSi,"['SG CONFLICT', 'SG CONFLICT']",4,2,[['SG CONFLICT']],[['SG CONFLICT']]
605,MoWB,['I4/mcm'],2,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode614854.cif']],[['CuAl2']]
606,CeAlGe,"['SG CONFLICT', 'SG CONFLICT']",1,2,[['SG CONFLICT']],[['SG CONFLICT']]
607,ErPdSi,"['Imma', 'PmmnZ']",5,2,"[['COMPOSITION:MET:1:1 MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_1.zip_CollCode77728.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_76_CollCode408081.cif']]","[['KHg2'], ['YPdSi']]"
608,KNaSe,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_9.zip_CollCode67278.cif', 'sd_1710452.cif']]",[['TiNiSi']]
609,TiGeSb,['P4/nmmZ'],3,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_34_CollCode260557.cif']],[['UP2#UAs2']]
610,GdPdSn,['Pnma'],3,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_21_CollCode636181.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_3_CollCode428399.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_24_CollCode104114.cif', 'sd_1722826.cif', 'sd_0535711.cif', 'sd_0300463.cif', 'sd_0559166.cif', 'sd_1227595.cif']]",[['TiNiSi']]
611,ZrVSi,['P4/nmmS'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_50_CollCode652544.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_81_CollCode42337.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode42337.cif']]",[['UP2#UAs2']]
612,GdAlGa,['P6/mmm'],4,1,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_55_CollCode658037.cif', 'sd_1923005.cif']]","[['AlB2', 'SmNiSb']]"
613,NbMnSi,['P-62m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_14_CollCode24185.cif', 'sd_0308745.cif']]",[['ZrNiAl']]
614,BiSI,"['SG CONFLICT', 'SG CONFLICT']",4,2,[['SG CONFLICT']],[['SG CONFLICT']]
615,HoIrGe,['Pnma'],3,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_84_CollCode88161.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_84_CollCode88166.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_22_CollCode636629.cif', 'sd_0535311.cif', 'sd_1612447.cif']]",[['TiNiSi']]
616,BaPdP,['Cmca'],4,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_2.zip_CollCode75017.cif']],[[None]]
617,CeOsSi,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode41256.cif']],[['PbClF']]
618,ZrNiGa,['P-62m'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode635009.cif', 'sd_1501307.cif']]",[['ZrNiAl']]
619,LaMnGe,['P4/nmmZ'],3,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode85857.cif']],[['PbClF']]
620,BeHfSi,['P63/mmc'],4,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode108103.cif', 'sd_0540461.cif']]",[['BeZrSi']]
621,OsAsTe,['P121/c1'],2,1,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode611144.cif', 'sd_1820548.cif']]","[['FeAsS', 'FeAsS#CoSb2']]"
622,FeCoGe,['P63/mmc'],3,1,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_23_CollCode196628.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_1_CollCode52953.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_44_CollCode197585.cif', 'sd_0548003.cif', 'sd_0547007.cif', 'sd_0540442.cif']]","[['BeZrSi', 'InNi2#Co1.75Ge']]"
623,WCoB,['Pnma'],4,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_81_CollCode613388.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode613390.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_81_CollCode613390.cif', 'sd_1009646.cif']]",[['TiNiSi']]
624,TiMnAs,['P-62m'],2,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode198638.cif', 'sd_0536028.cif']]",[['ZrNiAl']]
625,DyCoC,"['P4/mmm', 'P42/mmc']",4,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode76783.cif', 'sd_1802132.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_40_CollCode61687.cif', 'sd_1924430.cif']]","[['CoYC(tP3)', 'YCoC'], ['YCoC', 'YCoC']]"
626,CeNiGa,"['P-62m', 'Pnma']",3,2,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_88_CollCode621133.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_27_CollCode102171.cif', 'sd_0302137.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_13_CollCode150269.cif', 'sd_1409130.cif']]","[['ZrNiAl', 'ZrNiAl'], ['AgTlTe', 'HoNiGa']]"
627,CaAgSb,['Pnma'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_16_CollCode56982.cif', 'sd_0459435.cif']]",[['TiNiSi']]
628,TbTiSi,['P4/nmmZ'],16,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_83_CollCode88115.cif']],[['PbClF']]
629,SmAlSi,['I41md'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode151717.cif', 'sd_1007881.cif']]",[['LaPtSi']]
630,CeCuAl,['P-62m'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_74_CollCode606422.cif']],[['ZrNiAl']]
631,CeFeSi,['P4/nmmZ'],5,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode42683.cif']],[['PbClF']]
632,YPdPb,['P-62m'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54315.cif', 'sd_1022982.cif']]",[['ZrNiAl']]
633,TbNiSn,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54301.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_86_CollCode427285.cif', 'sd_1233515.cif', 'sd_0535704.cif', 'sd_1714641.cif', 'sd_0537876.cif']]",[['TiNiSi']]
634,TaFeAl,['P63/mmc'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_75_CollCode607646.cif', 'sd_0536172.cif']]",[['MgZn2']]
635,CeCuGe,"['P6/mmm', 'P63/mmc']",6,5,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_82_CollCode76333.cif'], ['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_17_CollCode173219.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_38_CollCode99673.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_47_CollCode165006.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_39_CollCode106377.cif']]","[['SmNiSb'], ['BeZrSi']]"
636,TiNiCu,['I4/mmm'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode628583.cif']],[['AlCr2#MoSi2']]
637,NbFeAl,['P63/mmc'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_68_CollCode602893.cif', 'sd_0382637.cif']]",[['MgZn2']]
638,NdPtSi,['I41md'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_41_CollCode645745.cif', 'sd_0560667.cif']]",[['LaPtSi']]
639,BaNiGe,['Pnma'],1,1,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_88_CollCode237304.cif', 'sd_1635836.cif']]","[['SnClF', '(Bi7Pb)Pt4']]"
640,AmOI,['P4/nmmZ'],2,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_83_CollCode9475.cif']],[['PrOI']]
641,RuSeS,['Pa-3'],5,0,[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode650584.cif']],[['FeS2']]
642,ScAuGe,['P63mc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_63_CollCode81733.cif']],[['LiGaGe']]
643,CeIrP,['I41md'],2,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_12.zip_CollCode414515.cif', 'sd_1709971.cif']]",[['LaPtSi']]
644,CeIrIn,['P-62m'],1,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_28_CollCode100002.cif', 'sd_1121878.cif']]",[['ZrNiAl']]
645,TbMgNi,['Cmcm'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_50_CollCode166874.cif']],[[None]]
646,AgZnAs,"['SG CONFLICT', 'SG CONFLICT']",2,2,[['SG CONFLICT']],[['SG CONFLICT']]
647,HoAuGe,['P63mc'],3,3,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_53_CollCode656875.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode93435.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode93436.cif']]",[['LiGaGe']]
648,HfNiSi,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_27_CollCode638723.cif', 'sd_0459453.cif']]",[['TiNiSi']]
649,LiMnAs,"['F-43m', 'P4/nmmS']",26,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192816.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_9.zip_CollCode60739.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode26459.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode60742.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192817.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_4.zip_CollCode60741.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192817.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192823.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192821.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192820.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192820.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192822.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192823.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192819.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode192818.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192818.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_89_CollCode192819.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode192821.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_41_CollCode60741.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode192822.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_17_CollCode26459.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_41_CollCode60742.cif']]","[['MgAgAs'], ['LiMnAs']]"
650,SmFeAl,['P63/mmc'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_75_CollCode607642.cif', 'sd_1009340.cif']]",[['MgZn2']]
651,CeMnSi,['P4/nmmZ'],10,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_56_CollCode75048.cif']],[['PbClF']]
652,BiOBr,"['P4/nmmS', 'P4/nmmZ']",10,2,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_10.zip_CollCode29144.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_6.zip_CollCode185971.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_63_CollCode185971.cif'], ['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_11.zip_CollCode5035.cif']]","[['PrOI'], ['PrOI']]"
653,ErMnGe,['Pnma'],5,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_31_CollCode97801.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_69_CollCode85961.cif', 'sd_1622200.cif', 'sd_1611759.cif']]",[['TiNiSi']]
654,ZrMnSi,['Pnma'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_82_CollCode76236.cif', 'sd_1007370.cif']]",[['TiNiSi']]
655,GdPS,"['SG CONFLICT', 'SG CONFLICT']",3,2,[['SG CONFLICT']],[['SG CONFLICT']]
656,SmAuGe,['P63mc'],1,3,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_53_CollCode656871.cif']],[['LiGaGe']]
657,PdAsS,['P213'],4,0,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode611197.cif', 'COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_3.zip_CollCode93903.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_6_CollCode93903.cif', 'sd_1006242.cif']]",[['NiSbS']]
658,PrRhSn,['P-62m'],2,0,"[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_10_CollCode54339.cif', 'COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_9_CollCode415370.cif', 'sd_0461040.cif', 'sd_1004977.cif', 'sd_1210475.cif']]",[['ZrNiAl']]
659,RuSbSe,['P121/c1'],2,1,"[['COMPOSITION:MET:1:1 NME:1:1 and NUMBEROFELEMENTS:3_8.zip_CollCode650594.cif', 'sd_1820540.cif']]","[['FeAsS', 'FeAsS#CoSb2']]"
660,ErRuCo,['Fd-3mS'],1,0,[['COMPOSITION:MET:1:1 AND NUMBEROFELEMENTS:3_18_CollCode102377.cif']],[['Laves(cub)#MgCu2']]
