,Composition,Space Groups,Replicates,Error Code,Filename,Prototype
669,SmPdGe,"['Imma', 'Pnma']",3,5,"[['sd_0309710.cif'], ['sd_1000902.cif']]","[['AuYbGe'], ['AuYbGe']]"
670,SmPtGe,"['Imma', 'Pnma']",3,5,"[['sd_1400134.cif'], ['sd_0535316.cif']]","[['YPdSi'], ['TiNiSi']]"
671,CePtBi,['F-43m'],1,0,[['sd_1410327.cif']],[['MgAgAs']]
672,CeNiGa,"['P-62m', 'Pnma']",5,5,"[['sd_0302137.cif'], ['sd_1409130.cif']]","[['ZrNiAl'], ['HoNiGa']]"
673,LaPdBi,['F-43m'],2,0,[['sd_1410333.cif']],[['MgAgAs']]
674,PbIBr,['Pnma'],1,0,[['sd_1401558.cif']],[['BiSCl']]
675,KCuSe,['P63/mmc'],1,3,[['sd_1713872.cif']],[['BeZrSi']]
676,TiPtSn,['F-43m'],4,0,"[['sd_1815198.cif', 'sd_0460705.cif', 'sd_0537537.cif']]",[['MgAgAs']]
677,CePdSn,['Pnma'],3,0,"[['sd_0312318.cif', 'sd_0300459.cif']]",[['CeNiSn']]
678,SrAgBi,['P63/mmc'],1,3,[['sd_0459426.cif']],[['BeZrSi']]
679,HoNiP,['P63/mmc'],1,3,[['sd_0544463.cif']],[['YPtAs']]
680,ZrIrAl,['P63/mmc'],1,3,[['sd_0460728.cif']],[['MgZn2']]
681,ErRuSi,['Pnma'],1,0,[['sd_1804268.cif']],[['TiNiSi']]
682,ThPdIn,['P-62m'],2,3,[['sd_1010477.cif']],[['ZrNiAl']]
683,TaMnP,['Pnma'],1,0,[['sd_1612991.cif']],[['TiNiSi']]
684,YbNiSn,['Pnma'],7,0,"[['sd_0537880.cif', 'sd_1240409.cif', 'sd_0300461.cif', 'sd_1939682.cif']]",[['TiNiSi']]
685,YCoSi,['Pnma'],1,0,[['sd_1710176.cif']],[['TiNiSi']]
686,TiMnP,['P-62m'],2,3,"[['sd_1921942.cif', 'sd_0536037.cif']]",[['Fe2P']]
687,NbFeP,['Pnma'],2,0,[['sd_1226800.cif']],[['TiNiSi']]
688,GdTiGe,['I4/mmm'],3,0,"[['sd_1804297.cif', 'sd_1021909.cif', 'sd_1218566.cif']]",[['UGeTe']]
689,UIrGa,['P-62m'],2,3,[['sd_1010488.cif']],[['ZrNiAl']]
690,BaPtGe,['P213'],1,0,[['sd_0303771.cif']],[['NiSbS']]
691,AgTlS,['Pnma'],3,0,[['sd_0549423.cif']],[['AgTlTe']]
692,SrPtGe,['P213'],1,0,[['sd_0303770.cif']],[['NiSbS']]
693,UPtGa,['P-62m'],3,3,[['sd_1010489.cif']],[['ZrNiAl']]
694,SmPtSb,['F-43m'],1,0,[['sd_0300245.cif']],[['MgAgAs']]
695,AgAsS,['Pnma'],2,0,"[['sd_0539847.cif', 'sd_0549507.cif']]",[['CuAsS']]
696,TiNiSb,['F-43m'],6,0,"[['sd_1008588.cif', 'sd_0558264.cif', 'sd_1816305.cif']]",[['MgAgAs']]
697,UGeTe,['I4/mmm'],2,3,"[['sd_0460932.cif', 'sd_0545746.cif']]",[['UGeTe']]
698,CeRhBi,['Pnma'],1,0,[['sd_1410642.cif']],[['TiNiSi']]
699,CePdGe,"['Imma', 'Pna21', 'Pnma']",6,5,"[['sd_0312084.cif'], ['sd_1013408.cif'], ['sd_1000895.cif']]","[['AuYbGe'], ['AuYbGe'], ['AuYbGe']]"
700,BaCuGe,['P6/mmm'],1,3,[['sd_0536235.cif']],[['AlB2']]
701,InSCl,['R-3m'],2,3,[['sd_1716512.cif']],[['CdCl2']]
702,IrBiS,['P213'],1,0,[['sd_1006228.cif']],[['NiSbS']]
703,TmNiSn,['Pnma'],2,0,[['sd_0537881.cif']],[['TiNiSi']]
704,TaNiB,['Cmcm'],2,0,[['sd_1102066.cif']],[['MoAlB']]
705,TmRuSi,['Pnma'],1,0,[['sd_1804269.cif']],[['TiNiSi']]
706,LiYSn,['P63mc'],1,3,[['sd_1703123.cif']],[['LiYSn']]
707,ThNiIn,['P-62m'],1,3,[['sd_1010476.cif']],[['ZrNiAl']]
708,ErNiP,['P63/mmc'],1,3,[['sd_0544462.cif']],[['YPtAs']]
709,NaBeAs,['P63/mmc'],1,3,[['sd_1713867.cif']],[['BeZrSi']]
710,ScNiSi,['Pnma'],6,0,"[['sd_1407100.cif', 'sd_1002693.cif']]",[['TiNiSi']]
711,KCuTe,['P63/mmc'],1,3,[['sd_1713873.cif']],[['BeZrSi']]
712,ZrPtSn,['F-43m'],3,0,"[['sd_1815199.cif', 'sd_0460703.cif']]",[['MgAgAs']]
713,ScPdBi,['F-43m'],1,0,[['sd_1410332.cif']],[['MgAgAs']]
714,LaPtBi,['F-43m'],1,0,[['sd_1410326.cif']],[['MgAgAs']]
715,ZrPdSi,['Pnma'],1,0,[['sd_0300735.cif']],[['TiNiSi']]
716,ZrRuSb,['F-43m'],1,0,[['sd_1612210.cif']],[['MgAgAs']]
717,ScPtGa,['Pnma'],1,0,[['sd_0535258.cif']],[['TiNiSi']]
718,HoCoSi,['Pnma'],1,0,[['sd_0458936.cif']],[['TiNiSi']]
719,HoNiSb,['F-43m'],4,0,"[['sd_1602771.cif', 'sd_1405659.cif', 'sd_1011940.cif']]",[['MgAgAs']]
720,TmPdSb,['F-43m'],1,0,[['sd_0537315.cif']],[['MgAgAs']]
721,ScRhSi,['Pnma'],3,0,[['sd_1503399.cif']],[['TiNiSi']]
722,NaCdSb,"['Pna21', 'Pnma']",2,2,"[['sd_1713898.cif'], ['sd_1713879.cif']]","[['TiNiSi'], ['TiNiSi']]"
723,YPtSi,['Pnma'],1,0,[['sd_0535264.cif']],[['TiNiSi']]
724,EuPdSi,['P213'],2,0,"[['sd_0303599.cif', 'sd_0538586.cif']]",[['ZrSO']]
725,ZrRuP,"['P-62m', 'Pnma']",4,5,"[['sd_1720262.cif', 'sd_0538753.cif'], ['sd_0538754.cif']]","[['ZrNiAl'], ['TiNiSi']]"
726,HoRhGe,['Pnma'],2,0,[['sd_0535270.cif']],[['TiNiSi']]
727,DyPdSb,"['F-43m', 'P63/mmc', 'P63mc']",4,5,"[['sd_0537317.cif'], ['sd_1227712.cif'], ['sd_1711695.cif']]","[['MgAgAs'], ['LiGaGe'], ['LiGaGe']]"
728,TiCoGe,['P-62m'],3,3,"[['sd_1503212.cif', 'sd_1936019.cif']]",[['ZrNiAl']]
729,ScNiSb,['F-43m'],2,0,[['sd_1405663.cif']],[['MgAgAs']]
730,NaAuGe,['Imm2'],1,0,[['sd_1708499.cif']],[['AuEuGe']]
731,GdNiGe,['Pnma'],2,0,[['sd_0459547.cif']],[['TiNiSi']]
732,ScPtSb,['F-43m'],2,0,[['sd_1628985.cif']],[['MgAgAs']]
733,TaIrSi,['Pnma'],1,0,[['sd_1415316.cif']],[['TiNiSi']]
734,ErAlGa,['P6/mmm'],3,3,[['sd_0538191.cif']],[['AlB2']]
735,LuPdIn,['P-62m'],1,3,[['sd_0536802.cif']],[['ZrNiAl']]
736,SmNiIn,['P-62m'],2,3,[['sd_0536816.cif']],[['ZrNiAl']]
737,CaAuSn,['Pnma'],1,0,[['sd_1702188.cif']],[['CaAuSn']]
738,NdIrSn,['P-62m'],1,3,[['sd_1803658.cif']],[['ZrNiAl']]
739,HfNiAs,['Pnma'],1,0,[['sd_1702163.cif']],[['HoNiGa']]
740,BaGaSi,['P6/mmm'],2,3,[['sd_1223428.cif']],[['AlB2']]
741,DyIrAl,['Pnma'],1,0,[['sd_1227896.cif']],[['TiNiSi']]
742,ScPtSn,"['F-43m', 'P-62c', 'P-62m']",4,5,"[['sd_1703131.cif'], ['sd_1004985.cif'], ['sd_0458847.cif']]","[['MgAgAs'], ['HfRhSn'], ['HfRhSn']]"
743,HoPtSn,['P-62m'],2,3,[['sd_0458856.cif']],[['ZrNiAl']]
744,ErPdGe,"['Imm2', 'Imma']",3,5,"[['sd_1716317.cif'], ['sd_0535338.cif']]","[['AuYbSn'], ['AuYbSn']]"
745,ScPdSn,"['P-62c', 'P-62m']",3,5,"[['sd_1004986.cif'], ['sd_0458842.cif']]","[['HfRhSn'], ['HfRhSn']]"
746,SrAuAs,['P63/mmc'],1,3,[['sd_1709744.cif']],[['BeZrSi']]
747,LaNiAs,"['P-6m2', 'P63/mmc']",2,5,"[['sd_1612370.cif'], ['sd_1905244.cif']]","[['YPtAs'], ['YPtAs']]"
748,URhGe,"['Imma', 'Pnma']",2,5,"[['sd_0312292.cif'], ['sd_0538604.cif']]","[['TiNiSi'], ['TiNiSi']]"
749,DyIrGe,['Pnma'],2,0,"[['sd_0535310.cif', 'sd_1612446.cif']]",[['TiNiSi']]
750,NaAuSn,['Pnma'],1,0,[['sd_0540943.cif']],[['TiNiSi']]
751,CeRhSi,['P213'],1,0,[['sd_1224409.cif']],[['ZrSO']]
752,GdRhGe,['Pnma'],2,0,[['sd_0535304.cif']],[['TiNiSi']]
753,YSnGe,['Cmcm'],1,0,[['sd_1627678.cif']],[['MoAlB']]
754,SbSeI,['Pnma'],7,0,[['sd_1001396.cif']],[['BiSCl']]
755,ErCoGa,['Pnma'],1,0,[['sd_1214051.cif']],[['TiNiSi']]
756,NbMnSi,['P-62m'],2,3,[['sd_0308745.cif']],[['ZrNiAl']]
757,HfNbSi,['P63/mmc'],1,3,[['sd_0300319.cif']],[['MgZn2']]
758,YbPdIn,['P-62m'],3,3,[['sd_0459745.cif']],[['ZrNiAl']]
759,CsAuO,"['I-4', 'I4/mmm']",2,2,"[['sd_1712572.cif'], ['sd_1252992.cif']]","[[None], ['KAgO']]"
760,YZnAl,['P63/mmc'],2,3,[['sd_1923761.cif']],[['CaIn2']]
761,DyAlGa,['P6/mmm'],2,3,[['sd_1923007.cif']],[['AlB2']]
762,ThNiAl,['P-62m'],2,3,[['sd_0460846.cif']],[['ZrNiAl']]
763,CsTlO,['C12/m1'],1,0,[['sd_1712199.cif']],[['KTlO']]
764,LaPtSn,"['P-62m', 'Pnma']",4,5,"[['sd_1814873.cif'], ['sd_1814870.cif', 'sd_1718786.cif']]","[['ZrNiAl'], ['TiNiSi']]"
765,ZrTaSi,['P63/mmc'],1,3,[['sd_0300325.cif']],[['MgZn2']]
