,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
214,8,DyPdTl,III_IV,OTHER,Dy,0.586,,926302,Tl,0.534,0,573954,Pd,0.142,,898833
215,9,UCoGe,III_IV,MgSrSi (Pnma),U,0.997,0,876298,Co,0.092,0,859464,Ge,0.656,0,868258
216,10,ScCuGe,III_IV,MoNiP (P-62m),Sc,0.682,0,564179,Cu,0.097,0,853902,Ge,0.242,0.638,868481
217,11,SmPdP,III_IV,AsHgK (P63/mmc),Sm,0.849,0,1726719,P,0.243,0.391,1726442,Pd,0.254,0.788,1726165
218,12,PtBiSe,III_IV,OTHER,Bi,0.647,0,1726337,Pt,0.151,0,1726891,Se,0.678,0,1726614
219,13,NaCuTe,III_IV,OTHER,Na,0.625,0,570737,Cu,0.08,0.6,854019,Te,0.198,0.714,845454
220,14,YbMgPd,III_IV,MgSrSi (Pnma),Yb,0.768,0,828545,Mg,0.557,0,841414,Pd,0.155,0,898762
221,15,RbLiS,III_IV,OTHER,Rb,0.8,1.889,1726240,Li,0.347,3.334,1726794,S,0.355,2.664,1726517
222,16,PtGeSe,III_IV,OTHER,Ge,0.754,0,1726422,Pt,0.318,0,1726976,Se,0.821,0.282,1726699
223,17,HoPtSi,III_IV,MgSrSi (Pnma),Ho,1.02,0,891762,Si,0.5,0,579476,Pt,0.328,0,568604
224,18,DyIrGe,III_IV,MgSrSi (Pnma),Dy,1.05,,926348,Ge,0.587,0,868666,Ir,0.34,0,893324
225,19,VWSi,III_IV,OTHER,V,0.868,0,840070,Si,0.691,0,579015,W,0.921,0,969638
226,20,ScPdZn,III_IV,OTHER,Sc,0.548,0,564691,Zn,0.379,0,915009,Pd,0.182,0,898008
227,21,YbPdIn,III_IV,MoNiP (P-62m),Yb,0.692,0,828585,In,0.492,0,887421,Pd,0.133,0,897815
228,22,IrPSe,III_IV,OTHER,P,1.231,0.234,1726324,Ir,0.533,0,1726878,Se,1.503,0,1726601
229,23,SrAgAs,III_IV,AsHgK (P63/mmc),Sr,0.715,0,975228,Ag,0.242,0.294,937637,As,0.146,0.296,582957
230,24,ThGeSe,III_IV,OTHER,Th,0.635,0,1726944,Ge,0.877,0,1726390,Se,0.667,0,1726667
231,25,EuAuP,III_IV,AsHgK (P63/mmc),Eu,0.856,0,1726974,P,0.254,0.211,1726697,Au,0.337,0.221,1726420
232,0,CeCuAl,III_IV,MoNiP (P-62m),Ce,0.777,0,921333,Al,0.502,0,943522,Cu,0.17,0,853839
233,1,CeFeSi,III_IV,OTHER,Ce,1.402,0,921834,Fe,0.613,0,957502,Si,0.635,0,581409
234,2,YPdPb,III_IV,MoNiP (P-62m),Y,0.612,0,857025,Pd,0.035,0,898178,Pb,0.452,0,928401
235,3,TbNiSn,III_IV,MgSrSi (Pnma),Tb,0.899,0,965969,Ni,0.077,0,960039,Sn,0.614,0,925031
236,4,TaFeAl,III_IV,OTHER,Ta,1.098,0,961603,Al,1.032,0,943453,Fe,0.413,0,957628
237,5,TiNiCu,III_IV,OTHER,Ti,0.648,0,994038,Cu,0.564,0,851593,Ni,0.394,0,959810
238,6,NbFeAl,III_IV,OTHER,Nb,1.023,0,918154,Al,0.93,0,943224,Fe,0.381,0,958811
239,7,NdPtSi,III_IV,OTHER,Nd,1.045,0,968438,Si,0.51,0,579557,Pt,0.361,0,567227
240,8,RuSeS,III_IV,OTHER,Ru,0.355,0,1726743,Se,1.408,0,1726466,S,1.366,0,1726189
241,9,ScAuGe,III_IV,LiGaGe (P63mc),Sc,0.417,0,564225,Ge,0.135,0,869313,Au,0.029,0.647,948470
242,10,CeIrP,III_IV,OTHER,Ce,1.446,0,1726748,P,0.743,0,1726471,Ir,0.699,0,1726194
243,11,CeIrIn,III_IV,MoNiP (P-62m),Ce,0.954,0,922860,In,0.749,0,887793,Ir,0.175,0,894859
244,12,TbMgNi,III_IV,OTHER,Tb,0.92,0,965946,Mg,0.831,0,843245,Ni,0.219,,961393
245,13,HoAuGe,III_IV,LiGaGe (P63mc),Ho,0.536,0,890532,Ge,0.176,0.257,867224,Au,0.073,,948632
246,14,HfNiSi,III_IV,MgSrSi (Pnma),Hf,0.987,0,864054,Si,0.587,0,579537,Ni,0.096,0.926,959633
247,15,SmFeAl,III_IV,OTHER,Sm,1.145,0,576517,Al,0.71,,941853,Fe,0.426,,958765
248,16,CeMnSi,III_IV,OTHER,Ce,1.135,0,920913,Mn,0.562,,903825,Si,0.448,0,580714
249,17,ErMnGe,III_IV,MgSrSi (Pnma),Er,0.994,0,873368,Mn,0.507,,903737,Ge,0.358,0,869029
250,18,ZrMnSi,III_IV,MgSrSi (Pnma),Zr,1.182,0,987375,Mn,0.63,0,905099,Si,0.505,0,580421
251,19,SmAuGe,III_IV,LiGaGe (P63mc),Sm,0.589,0,577011,Ge,0.188,0.369,868172,Au,0.109,,948179
252,20,PdAsS,III_IV,OTHER,As,0.637,0,1726402,Pd,0.287,0,1726956,S,0.688,0,1726679
253,21,PrRhSn,III_IV,MoNiP (P-62m),Pr,1.007,0,836837,Sn,0.709,0,925447,Rh,0.206,0,885109
254,22,ErRuCo,III_IV,OTHER,Er,1.193,0,874240,Co,0.488,0,860297,Ru,0.621,0,935530
255,23,CaMgSi,III_IV,MgSrSi (Pnma),Ca,0.794,0,877170,Mg,0.404,0,842885,Si,0.091,0.799,580855
256,24,PrPdZn,III_IV,MoNiP (P-62m),Pr,0.644,0,837314,Zn,0.38,,914265,Pd,0.192,0,899254
257,0,YPdGa,III_IV,MgSrSi (Pnma),Y,0.74,0,858745,Ga,0.453,0,951405,Pd,0.242,0,899802
258,1,MgYPt,III_IV,MoNiP (P-62m),Y,0.823,0,858666,Mg,0.725,0,843826,Pt,0.137,0,567040
259,2,YFeCo,III_IV,OTHER,Y,1.213,0,857261,Fe,0.559,0,958125,Co,0.445,0,860820
260,3,SmPdGa,III_IV,MgSrSi (Pnma),Sm,0.736,0,578461,Ga,0.451,,952457,Pd,0.239,,898378
