,Unnamed: 0,Composition,Type,Experimental Structure,EP 1 element,EP 1 Ehull (eV/atom),EP 1 band gap (eV),EP 1 Entry id,EP 2 element,EP 2 Ehull (eV/atom),EP 2 band gap (eV),EP 2 Entry id,EP 3 element,EP 3 Ehull (eV/atom),EP 3 band gap (eV),EP 3 Entry id
622,22,DyPtSb,I_II,Half Heusler (F-43m),Dy,0.765,,926630,Sb,0.559,0.263,916283,Pt,0,0.25,828024
623,23,TbCoAl,III_IV,OTHER,Tb,1.332,0,965044,Al,0.925,,943122,Co,0.449,0,860465
624,24,EuAgGe,III_IV,OTHER,Eu,0.754,,940732,Ag,0.301,0,936407,Ge,0.327,0,867167
625,25,NdPdGa,III_IV,MgSrSi (Pnma),Nd,0.714,0,968651,Ga,0.422,,951740,Pd,0.216,,898714
626,0,HfZnAl,III_IV,OTHER,Hf,0.741,0,862244,Al,0.557,0,942423,Zn,0.331,0,913892
627,1,ErFeRu,III_IV,OTHER,Er,1.19,0,872236,Fe,0.539,,957428,Ru,0.554,0,933548
628,2,DyNiBi,I_II,Half Heusler (F-43m),Dy,0.815,,927899,Ni,0,0.388,960195,Bi,0.606,,979247
629,3,LiYSn,III_IV,OTHER,Li,0.202,0,880781,Y,0.6,0.411,857221,Sn,0.219,0.787,924205
630,4,NaMgSb,III_IV,OTHER,Na,0.519,0,570360,Mg,0.176,1.067,842514,Sb,0.072,1.284,917864
631,5,YbAuAl,III_IV,MgSrSi (Pnma),Yb,0.817,0,828848,Al,0.527,0,941918,Au,0.253,0,946119
632,6,YbIrSn,III_IV,MoNiP (P-62m),Yb,1.033,0,829656,Sn,0.603,0,923564,Ir,0.169,0,893759
633,7,SrCuSb,III_IV,AsHgK (P63/mmc),Sr,0.891,0,974594,Cu,0.164,0,851728,Sb,0.405,0.728,915927
634,8,YbAuCd,III_IV,MgSrSi (Pnma),Yb,0.402,,830814,Cd,0.33,,985374,Au,0.089,,948048
635,9,LuPtAl,III_IV,MgSrSi (Pnma),Lu,0.991,0,906724,Al,0.705,0,942099,Pt,0.257,0,566954
636,10,ZrVFe,III_IV,OTHER,Zr,1.317,0,988042,V,0.873,0,840461,Fe,0.454,0,957715
637,11,TmPtSn,III_IV,MoNiP (P-62m),Tm,0.745,0,870984,Sn,0.588,0,923504,Pt,0.038,0,566146
638,12,ErZnTl,III_IV,AsHgK (P63/mmc),Er,0.465,0,873319,Tl,0.229,0.387,575836,Zn,0.079,0,913315
639,13,PrNiIn,III_IV,MoNiP (P-62m),Pr,0.832,0,837452,In,0.682,0,888913,Ni,0.146,,959032
640,14,SrPdSi,III_IV,OTHER,Sr,1.257,0,975605,Si,0.708,0,580990,Pd,0.575,0,899905
641,15,LaGdAl,III_IV,OTHER,La,0.774,0,833381,Gd,0.638,0,980958,Al,0.241,0,942476
642,16,HoFeAl,III_IV,OTHER,Ho,1.218,0,890040,Al,0.731,,942408,Fe,0.421,,957697
643,17,YIrSb,III_IV,MgSrSi (Pnma),Y,0.909,0,857302,Sb,0.618,0,916289,Ir,0.084,0,893403
644,18,PuNiGa,III_IV,MoNiP (P-62m),Pu,0.905,0,896552,Ga,0.661,0,951933,Ni,0.277,0,959590
645,19,NbCrAl,III_IV,OTHER,Nb,1.081,0,918564,Al,0.918,0,943530,Cr,0.816,0,836124
646,20,BaCaGe,III_IV,MgSrSi (Pnma),Ba,0.715,0.23,866006,Ca,0.482,0,877653,Ge,0.111,0.358,869034
647,21,HfNiGa,III_IV,MoNiP (P-62m),Hf,0.854,0,863325,Ga,0.619,0,951839,Ni,0.197,0,961279
648,22,MgPdSb,I_II,Half Heusler (F-43m),Mg,0.428,0,841441,Sb,0.293,0,915449,Pd,0,0,899211
649,23,TaCuAl,III_IV,OTHER,Ta,0.964,0,962230,Al,0.868,0,941716,Cu,0.42,0,852837
650,0,PuRhGa,III_IV,MoNiP (P-62m),Pu,0.915,0,896971,Ga,0.647,0,953294,Rh,0.253,0,885458
651,1,GdZnIn,III_IV,AsHgK (P63/mmc),Gd,0.581,0,980901,Zn,0.068,,914155,In,0.312,0.216,887564
652,2,LuAuIn,III_IV,MoNiP (P-62m),Lu,0.553,0,905509,In,0.483,0,889028,Au,0.079,0,947305
653,3,EuMgSi,III_IV,MgSrSi (Pnma),Eu,0.844,,938512,Mg,0.392,0,841352,Si,0.116,0.902,581407
654,4,TiOsGe,III_IV,OTHER,Ti,0.607,0,994307,Ge,0.572,0,868558,Os,0.309,0,572557
655,5,PuNiAl,III_IV,MoNiP (P-62m),Pu,1.12,0,895030,Al,0.846,0,941719,Ni,0.388,0,960503
656,6,CeIrAl,III_IV,MgSrSi (Pnma),Ce,1.242,0,921852,Al,0.742,,941472,Ir,0.358,0,894729
657,7,KSnSb,III_IV,OTHER,K,0.658,0.413,902146,Sn,0.298,0,924846,Sb,0.271,0,916593
658,8,NbNiGe,III_IV,MgSrSi (Pnma),Nb,0.721,0,918481,Ni,0.232,0,959243,Ge,0.585,0,869381
659,9,TbPdIn,III_IV,MoNiP (P-62m),Tb,0.736,0,964056,In,0.615,0,889539,Pd,0.169,,898315
660,10,DyRhBi,III_IV,MoNiP (P-62m),Dy,0.725,,927600,Bi,0.529,,977023,Rh,0,0,886062
661,11,VCrSi,III_IV,OTHER,V,0.906,0,839923,Cr,0.736,0,834168,Si,0.639,0,579601
662,12,URuAl,III_IV,MoNiP (P-62m),U,1.251,0,876243,Al,0.952,0,942422,Ru,0.44,0,933661
663,13,TbPtIn,III_IV,MoNiP (P-62m),Tb,0.757,0,965045,In,0.691,0,889341,Pt,0.145,0,566910
664,14,CaAuCd,III_IV,MgSrSi (Pnma),Ca,0.414,0,879375,Cd,0.327,0,985877,Au,0.103,0,946367
665,15,SmRhBi,III_IV,MgSrSi (Pnma),Sm,0.79,0,578302,Bi,0.54,,978325,Rh,0.022,0,886085
666,16,HfGeSb,III_IV,OTHER,Hf,0.608,0,863240,Ge,0.769,0,867651,Sb,0.86,0,916331
667,17,TiCrMn,III_IV,OTHER,Ti,1.214,0,993228,Mn,0.599,0,902839,Cr,0.745,0,833711
668,18,DyNiIn,III_IV,MoNiP (P-62m),Dy,0.847,0,926908,In,0.701,0,889786,Ni,0.159,,959321
669,19,TmRhAl,III_IV,MgSrSi (Pnma),Tm,1.103,0,869498,Al,0.73,,941825,Rh,0.269,0,886721
670,20,FeZnSb,I_II,Half Heusler (F-43m),Zn,0.515,0,913226,Fe,0.154,0,956354,Sb,0.47,0,915828
671,21,BaHgPb,III_IV,OTHER,Ba,0.455,0,866406,Hg,0.066,0,945216,Pb,0.169,0,928428
672,22,BaMgGe,III_IV,OTHER,Ba,0.852,0,864341,Mg,0.41,0,841872,Ge,0.196,0.238,867605
673,23,EuPtIn,III_IV,MgSrSi (Pnma),Eu,0.775,,939478,In,0.561,0,888920,Pt,0.147,0,568454
674,24,CeMnAl,III_IV,OTHER,Ce,1.005,0,921221,Mn,0.597,,904952,Al,0.672,0,942801
675,25,PrCdTl,III_IV,AsHgK (P63/mmc),Pr,0.398,0,837555,Tl,0.128,0.333,576286,Cd,0.14,,986592
676,0,BeTaB,III_IV,OTHER,Ta,1.487,0,961615,Be,1.119,0,932011,B,0.58,0,910124
677,1,YbGaGe,III_IV,OTHER,Yb,0.568,0,828572,Ga,0.272,0,952709,Ge,0.245,0,867521
678,2,LuAgPb,III_IV,MoNiP (P-62m),Lu,0.388,0,906748,Ag,0.017,0,938194,Pb,0.192,0.522,930010
679,3,HoNiP,III_IV,OTHER,Ho,1.071,0,1726730,Ni,0.265,0.857,1726176,P,0.465,0.413,1726453
680,4,EuCuP,III_IV,AsHgK (P63/mmc),Eu,1.073,0,1726857,Cu,0.318,0.459,1726303,P,0.388,0.85,1726580
681,5,YbPtSb,I_II,Half Heusler (F-43m),Yb,0.836,0,829504,Sb,0.478,0,917053,Pt,0.086,0,566183
682,6,YAgPb,III_IV,MoNiP (P-62m),Y,0.453,0,858189,Ag,0.036,0,936520,Pb,0.204,0.56,929183
683,7,LaAgIn,III_IV,OTHER,La,0.564,0,833101,In,0.346,0,887820,Ag,0.122,0,936240
684,8,IrPdB,III_IV,OTHER,B,0.258,0,908808,Ir,1.151,0,893750,Pd,1.549,0,899804
685,9,NbCuAl,III_IV,OTHER,Nb,0.919,0,918781,Al,0.76,0,943316,Cu,0.388,0,854018
686,10,VSiGe,III_IV,OTHER,V,0.625,0,839641,Si,0.797,0,579692,Ge,0.943,0,867394
687,11,EuAgAs,III_IV,AsHgK (P63/mmc),Eu,0.668,,939435,Ag,0.176,0.33,935988,As,0.115,0.523,581761
688,12,ErPdTl,III_IV,OTHER,Er,0.586,0,872625,Tl,0.545,0,575006,Pd,0.149,,897970
689,13,SmFeCu,III_IV,OTHER,Sm,1.067,0,578777,Fe,0.61,,958556,Cu,0.537,0,852398
690,14,HfPdAl,III_IV,OTHER,Hf,0.829,0,862128,Al,0.665,0,943267,Pd,0.233,0,898544
691,15,YCoNi,III_IV,OTHER,Y,1,0,856756,Co,0.52,0,860996,Ni,0.493,0,960687
692,16,HoCoSn,III_IV,MgSrSi (Pnma),Ho,0.949,0,891011,Co,0.14,0,860211,Sn,0.589,0,923638
693,17,BaAuAl,III_IV,OTHER,Ba,0.845,0,864636,Al,0.56,0,941686,Au,0.392,0,947643
694,18,PrPtSi,III_IV,OTHER,Pr,1.146,0,838084,Si,0.612,0,579959,Pt,0.46,0,568072
695,19,GdPtGe,III_IV,MgSrSi (Pnma),Gd,0.838,,980102,Ge,0.442,0,867323,Pt,0.232,0,566437
696,20,ZrPdSi,III_IV,MgSrSi (Pnma),Zr,0.87,0,988381,Si,0.445,0,579936,Pd,0.248,0.863,899988
697,21,DyIrIn,III_IV,MoNiP (P-62m),Dy,0.869,,927964,In,0.745,0,889119,Ir,0.131,0,892870
698,22,URuSb,III_IV,MoNiP (P-62m),U,0.938,0,876242,Sb,0.822,0,916857,Ru,0.094,0,935202
699,23,VNiSi,III_IV,MgSrSi (Pnma),V,0.697,0,841044,Si,0.478,0,579795,Ni,0.261,0,959415
700,24,PrPdCd,III_IV,MoNiP (P-62m),Pr,0.64,0,837010,Cd,0.517,0,985836,Pd,0.14,0,900031
701,25,HfRhSi,III_IV,MgSrSi (Pnma),Hf,0.954,0,864293,Si,0.557,0,579449,Rh,0.331,0,885499
702,0,YMnIn,III_IV,OTHER,Y,0.92,0,858447,Mn,0.471,0,903107,In,0.637,0,888170
703,1,TiMnSi,III_IV,OTHER,Ti,1.073,0,992481,Mn,0.603,0,903050,Si,0.523,0,578975
704,2,LaRhSb,III_IV,MgSrSi (Pnma),La,1.009,0,831520,Sb,0.617,0,916934,Rh,0.127,0,887081
705,3,HoIrAl,III_IV,MgSrSi (Pnma),Ho,1.186,0,891177,Al,0.746,,942154,Ir,0.296,0,893791
706,4,ZrNiAs,III_IV,OTHER,Zr,0.658,0,987119,Ni,0.214,0,959172,As,0.495,0,582714
707,5,SmIrSn,III_IV,MoNiP (P-62m),Sm,1.02,0,577481,Sn,0.761,0,925253,Ir,0.2,0,894660
708,6,SmPdIn,III_IV,MoNiP (P-62m),Sm,0.744,0,576407,In,0.607,0,888564,Pd,0.172,,897549
709,7,YbPdPb,III_IV,MoNiP (P-62m),Yb,0.647,0,828901,Pd,0.101,0,899724,Pb,0.452,0,928317
710,8,LiCuGe,III_IV,OTHER,Li,0.41,0,880263,Cu,0.146,0,852686,Ge,0.222,0,867483
711,9,VFeP,III_IV,MgSrSi (Pnma),V,0.675,0,1726800,Fe,0.102,0.312,1726246,P,0.48,0,1726523
712,10,CePtBi,I_II,Half Heusler (F-43m),Ce,0.78,,923044,Bi,0.571,,977076,Pt,0,0.321,568284
713,11,LaPdBi,I_II,Half Heusler (F-43m),La,0.748,0,831572,Bi,0.442,0.259,977986,Pd,0,0.52,898709
714,12,YCoSi,III_IV,MgSrSi (Pnma),Y,1.316,0,858436,Co,0.458,0,860892,Si,0.637,0,580703
715,13,TiMnP,III_IV,OTHER,Ti,1.082,0,1726827,Mn,0.596,0,1726273,P,0.438,0,1726550
716,14,UIrGa,III_IV,MoNiP (P-62m),U,0.938,0,875505,Ga,0.774,0,953694,Ir,0.3,0,894448
717,15,AgTlS,III_IV,OTHER,Tl,0.504,0,1726190,Ag,0.211,0.423,1726744,S,0.229,0.684,1726467
718,16,UPtGa,III_IV,MoNiP (P-62m),U,0.802,0,875896,Ga,0.6,0,953226,Pt,0.258,0,568151
719,17,CeRhBi,III_IV,MgSrSi (Pnma),Ce,0.865,,922493,Bi,0.568,,976842,Rh,0.053,0,886919
720,18,TaNiB,III_IV,OTHER,Ta,1.236,0,962861,Ni,0.636,1.081,960139,B,0.386,0,908602
721,19,ThNiIn,III_IV,MoNiP (P-62m),Th,0.949,0,911569,In,0.95,0,887437,Ni,0.095,0,960155
722,20,ScPdBi,I_II,Half Heusler (F-43m),Sc,0.482,0,564054,Bi,0.388,0.628,978909,Pd,0,0.433,897766
723,21,LaPtBi,I_II,Half Heusler (F-43m),La,0.785,0,833584,Bi,0.574,0,979085,Pt,0,0,567305
724,22,LuPdIn,III_IV,MoNiP (P-62m),Lu,0.705,0,905265,In,0.616,0,889097,Pd,0.146,0,898744
725,23,NdIrSn,III_IV,MoNiP (P-62m),Nd,1.052,,967674,Sn,0.774,0,924720,Ir,0.217,0,893914
726,0,LaPtSb,III_IV,OTHER,La,0.847,0,832059,Sb,0.534,0,917744,Pt,0.018,0.396,568450
727,1,YNiPb,III_IV,MgSrSi (Pnma),Y,0.75,0,859063,Ni,0.085,0,959533,Pb,0.541,0,930003
728,2,CrMnSb,III_IV,OTHER,Mn,0.226,0,903463,Cr,0.272,0,834874,Sb,0.501,0,916556
729,3,HoAgPb,III_IV,LiGaGe (P63mc),Ho,0.437,0,891420,Ag,0.027,,936954,Pb,0.203,,929071
730,4,ZrCoNi,III_IV,OTHER,Zr,0.761,0,987115,Co,0.48,0,860446,Ni,0.491,0,960178
731,5,TbPS,III_IV,OTHER,Tb,0.806,0,1726858,P,1.022,0,1726304,S,0.92,0,1726581
732,6,GdMgAu,III_IV,MoNiP (P-62m),Gd,0.704,0,981753,Mg,0.614,0,841555,Au,0.178,0,946453
733,7,SmPtAl,III_IV,MgSrSi (Pnma),Sm,1.016,0,577873,Al,0.685,,943173,Pt,0.305,0,568565
734,8,LuAuSn,I_II,Half Heusler (F-43m),Lu,0.532,0,906597,Sn,0.386,0.262,924807,Au,0,0,947111
735,9,LaZnTl,III_IV,AsHgK (P63/mmc),La,0.469,0,832423,Tl,0.228,0,574734,Zn,0.05,0,913834
736,10,RbHgSb,III_IV,AsHgK (P63/mmc),Rb,0.737,0,991421,Hg,0.256,0,943910,Sb,0.302,0,915564
737,11,NaBaBi,III_IV,MoNiP (P-62m),Ba,0.433,0.484,866061,Na,0.206,0.48,569117,Bi,0.072,0.847,977217
738,12,TaWB,III_IV,OTHER,Ta,2.205,0,962930,B,0.713,0,907894,W,2.052,0,970359
739,13,HoPtSb,I_II,Half Heusler (F-43m),Ho,0.755,0,890852,Sb,0.564,0,916000,Pt,0,0.255,568315
740,14,GdZnAl,III_IV,AsHgK (P63/mmc),Gd,0.713,0,979819,Al,0.334,0,941239,Zn,0.126,0,915170
741,15,CePtIn,III_IV,MoNiP (P-62m),Ce,0.79,0,921595,In,0.675,0,887612,Pt,0.165,0,568562
742,16,NdLiGe,III_IV,MoNiP (P-62m),Li,0.227,0,879689,Nd,0.628,,967691,Ge,0.136,0.804,867810
743,17,GdPtPb,III_IV,MoNiP (P-62m),Gd,0.638,,979652,Pt,0.023,0,566413,Pb,0.561,,928661
744,18,TbIrIn,III_IV,MoNiP (P-62m),Tb,0.879,0,966305,In,0.745,0,888421,Ir,0.136,0,893216
745,19,PrLiSn,I_II,Half Heusler (F-43m),Li,0.16,0,880003,Pr,0.607,0,836771,Sn,0.21,0.608,923324
746,20,SmPdCd,III_IV,MoNiP (P-62m),Sm,0.626,0,577169,Cd,0.521,0,985699,Pd,0.136,0,897565
747,21,LiSrBi,III_IV,MgSrSi (Pnma),Sr,0.544,0.767,976624,Li,0.156,0.749,880212,Bi,0.151,1.494,978542
748,22,ZrTiNi,III_IV,OTHER,Zr,1.035,0,987062,Ti,0.931,0,993353,Ni,0.356,0,959780
749,23,UCrCo,III_IV,OTHER,U,0.914,0,874751,Cr,0.627,0,835032,Co,0.661,0,859609
750,24,SrMgPb,III_IV,MgSrSi (Pnma),Sr,0.633,0,974323,Mg,0.242,0,841307,Pb,0.128,0.436,928467
751,0,ErMnSi,III_IV,MgSrSi (Pnma),Er,1.135,0,872350,Mn,0.574,,905031,Si,0.427,0,581073
752,1,NbVSi,III_IV,OTHER,Nb,1.228,0,918516,V,1.098,0,840395,Si,0.673,0,580818
753,2,NdAlGa,III_IV,OTHER,Nd,0.703,0,967180,Al,0.377,,942176,Ga,0.247,,951237
754,3,TiSeS,III_IV,OTHER,Ti,0.455,0,1726945,Se,1.168,0,1726668,S,1.057,0,1726391
755,4,NdFeRu,III_IV,OTHER,Nd,1.246,0,966810,Fe,0.576,,956887,Ru,0.589,0,935560
756,5,TaRuSi,III_IV,OTHER,Ta,0.84,0,962710,Si,0.672,0,580237,Ru,0.355,0,933430
757,6,MnCoB,III_IV,OTHER,Mn,0.857,0,902724,Co,0.632,0,861229,B,0.246,0,910157
758,7,ZrRhSi,III_IV,MgSrSi (Pnma),Zr,1.012,0,989537,Si,0.562,0,579180,Rh,0.378,0,887207
759,8,TaFeP,III_IV,MgSrSi (Pnma),Ta,0.995,0,1726971,Fe,0.208,1.105,1726417,P,0.701,0,1726694
760,9,PdAsSe,III_IV,OTHER,As,0.556,0,1726316,Pd,0.192,0,1726870,Se,0.626,0,1726593
761,10,GdMgPt,III_IV,MoNiP (P-62m),Gd,0.832,0,981359,Mg,0.728,0,841763,Pt,0.134,0,566481
762,11,LaCuGe,III_IV,OTHER,La,0.803,0,831693,Cu,0.145,0,852748,Ge,0.318,0.517,868470
763,12,MnCuSb,I_II,Half Heusler (F-43m),Mn,0.17,0,903030,Cu,0.122,0,852784,Sb,0.282,0,915899
764,13,YCuIn,III_IV,MoNiP (P-62m),Y,0.718,0,858865,In,0.532,0,888125,Cu,0.129,0,851993
765,14,SmMgGa,III_IV,MoNiP (P-62m),Sm,0.682,0,578704,Mg,0.444,0,842151,Ga,0.128,,951447
766,15,ZrSiS,III_IV,OTHER,Zr,1.077,0,1726894,Si,1.344,0,1726340,S,0.992,0,1726617
767,16,ZrGeSe,III_IV,OTHER,Zr,0.775,0,1726789,Ge,1.098,0,1726235,Se,0.899,0,1726512
768,17,DyMgIn,III_IV,MoNiP (P-62m),Dy,0.608,0,927532,Mg,0.356,0,841740,In,0.196,0.244,889248
769,18,TbMgSn,III_IV,OTHER,Tb,0.543,0,965960,Mg,0.43,0,842454,Sn,0.253,0,925607
770,19,SmPdAl,III_IV,MgSrSi (Pnma),Sm,0.92,0,576720,Al,0.616,0,942246,Pd,0.281,0,899976
771,20,EuPtSi,III_IV,OTHER,Eu,1.361,0,940321,Si,0.773,0,580512,Pt,0.601,0,566172
772,21,CaAuP,III_IV,AsHgK (P63/mmc),Ca,0.741,0,1726812,P,0.175,0,1726535,Au,0.283,0,1726258
773,22,SrGaSi,III_IV,OTHER,Sr,0.839,0,974524,Ga,0.42,0,953580,Si,0.391,0,578995
774,0,TmMgGa,III_IV,MoNiP (P-62m),Tm,0.72,0,871771,Mg,0.523,0,842511,Ga,0.151,,952239
775,1,USbSe,III_IV,OTHER,U,0.465,0,1726928,Sb,1.07,0,1726374,Se,0.667,0,1726651
776,2,PrRhGe,III_IV,MgSrSi (Pnma),Pr,1.044,0,838185,Ge,0.567,0,869217,Rh,0.335,0,885311
777,3,YRuSi,III_IV,MgSrSi (Pnma),Y,1.444,0,857912,Si,0.66,0,579751,Ru,0.567,0,935006
778,4,TbAlGe,III_IV,OTHER,Tb,0.663,0,965988,Al,0.586,,941358,Ge,0.428,0,868126
779,5,TmPtGa,III_IV,MgSrSi (Pnma),Tm,0.762,0,870768,Ga,0.518,,951619,Pt,0.212,0,567337
780,6,ZrRuAs,III_IV,MoNiP (P-62m),Zr,0.871,0,987545,As,0.521,0,582403,Ru,0.298,0,933613
781,7,SrCdPb,III_IV,OTHER,Sr,0.495,0,975507,Cd,0.1,0,984442,Pb,0.11,0,930084
782,8,LiAlSi,I_II,Half Heusler (F-43m),Li,0.381,0,881099,Al,0.136,0.797,943366,Si,0,0.401,828028
783,9,HoPS,III_IV,OTHER,Ho,0.806,0,1726904,P,1.056,0,1726350,S,0.948,0,1726627
784,10,TaIrSi,III_IV,MgSrSi (Pnma),Ta,0.764,0,963209,Si,0.676,0,580540,Ir,0.088,1.009,892536
785,11,TaNiP,III_IV,MgSrSi (Pnma),Ta,0.717,0,1726962,Ni,0.689,0,1726408,P,0.463,0,1726685
786,12,ScFeSi,III_IV,MgSrSi (Pnma),Sc,1.224,0,564860,Fe,0.475,0,956933,Si,0.486,0,580598
787,13,ZrOsGe,III_IV,MoNiP (P-62m),Zr,1.012,0,989201,Ge,0.702,0,869194,Os,0.457,0,573697
788,14,HoMnSi,III_IV,MgSrSi (Pnma),Ho,1.132,0,890247,Mn,0.571,,905128,Si,0.423,0,580350
789,15,CrFeAs,III_IV,MoNiP (P-62m),Cr,0.234,0,835577,Fe,0.006,0,958343,As,0.248,0,582562
790,16,HoCuIn,III_IV,MoNiP (P-62m),Ho,0.719,0,892099,In,0.544,0,887897,Cu,0.114,0,853890
791,17,CeAuSb,III_IV,OTHER,Ce,0.39,0,921846,Sb,0.416,0,917174,Au,0.132,,946161
792,18,EuPdGa,III_IV,MgSrSi (Pnma),Eu,0.773,,940542,Ga,0.417,0,951383,Pd,0.225,0,898708
793,19,ZrMoAl,III_IV,OTHER,Zr,1.324,0,988964,Al,0.735,0,942118,Mo,0.88,0,884341
794,20,TaFeNi,III_IV,OTHER,Ta,0.812,0,962898,Fe,0.687,0,957165,Ni,0.688,0,961347
795,21,MgCuZn,III_IV,OTHER,Mg,0.508,0,843167,Zn,0.323,0,914339,Cu,0.211,0,853388
796,22,LaAuSb,III_IV,OTHER,La,0.435,0,832379,Sb,0.448,0,915977,Au,0.139,0,948425
797,23,ErCuIn,III_IV,MoNiP (P-62m),Er,0.721,0,874194,In,0.546,0,888435,Cu,0.116,0,852306
798,24,HoCoNi,III_IV,OTHER,Ho,0.96,0,889986,Co,0.514,0,861242,Ni,0.482,,959423
799,25,TmNiP,III_IV,OTHER,Tm,1.048,0,1726815,Ni,0.253,0.741,1726261,P,0.448,0.43,1726538
800,0,TmPtIn,III_IV,MoNiP (P-62m),Tm,0.729,0,870459,In,0.693,0,887715,Pt,0.121,0,566323
801,1,HoPdAs,III_IV,MgSrSi (Pnma),Ho,0.649,0,891259,As,0.212,0,828477,Pd,0.096,0,897992
802,2,ThRhSn,III_IV,MoNiP (P-62m),Th,1.037,0,910949,Sn,0.861,0,923509,Rh,0.148,0,886854
803,3,EuPtSn,III_IV,MgSrSi (Pnma),Eu,0.939,0,940005,Sn,0.63,0,924700,Pt,0.224,0,566961
804,4,ErAuPb,I_II,Half Heusler (F-43m),Er,0.457,0,874090,Pb,0.372,,928809,Au,0,,947321
805,5,NbPtGe,III_IV,MgSrSi (Pnma),Nb,0.445,0,918759,Ge,0.414,0,868867,Pt,0.213,0,566486
806,6,RhPS,III_IV,OTHER,P,1.089,0,1726257,Rh,0.535,0,1726811,S,1.214,0.238,1726534
807,7,TiAuGa,III_IV,OTHER,Ti,0.366,0,992827,Ga,0.259,0,951346,Au,0.051,0.71,946541
808,8,ErMnGa,III_IV,OTHER,Er,0.964,0,872118,Mn,0.552,0,904546,Ga,0.459,0,953378
809,9,GdCuTl,III_IV,OTHER,Gd,0.58,0,980817,Tl,0.442,0,575130,Cu,0.079,0,852634
810,10,ZrPdSn,I_II,Half Heusler (F-43m),Zr,0.657,0,987876,Sn,0.533,0,924131,Pd,0,0.653,897836
811,11,YbZnSn,III_IV,LiGaGe (P63mc),Yb,0.62,0,829897,Zn,0.054,,914209,Sn,0.222,0.69,925157
812,12,MnIrAl,III_IV,OTHER,Mn,0.534,0,903959,Al,0.598,0,942354,Ir,0.51,0,893115
813,13,BaCaSn,III_IV,MgSrSi (Pnma),Ba,0.671,0,866522,Ca,0.413,0,878273,Sn,0.125,0.475,925266
814,14,ZrRhAl,III_IV,OTHER,Zr,0.938,0,987078,Al,0.749,0,941265,Rh,0.281,0,886903
815,15,YbAuZn,III_IV,MgSrSi (Pnma),Yb,0.457,0,829793,Zn,0.258,,913808,Au,0.151,,948168
816,16,HoCuTl,III_IV,OTHER,Ho,0.583,0,891358,Tl,0.443,0,574378,Cu,0.086,0,852667
817,17,CeOsRu,III_IV,OTHER,Ce,1.656,,922945,Os,0.838,0,573492,Ru,0.851,0,935631
818,18,ThGeS,III_IV,OTHER,Th,0.838,0,1726943,Ge,1.202,0,1726389,S,0.726,0,1726666
819,19,ZrCoSb,I_II,Half Heusler (F-43m),Zr,0.927,0,989381,Co,0,1.31,861248,Sb,0.887,0,916718
820,20,URhSb,I_II,Half Heusler (F-43m),U,0.811,0,874976,Sb,0.707,0,917102,Rh,0.011,0,886647
821,21,ZrIrAl,III_IV,OTHER,Zr,0.947,0,988307,Al,0.76,0,943151,Ir,0.255,0,894569
822,22,ErAuSn,I_II,Half Heusler (F-43m),Er,0.557,0,873370,Sn,0.374,0.403,923707,Au,0,0,947236
823,23,TmPtSi,III_IV,MgSrSi (Pnma),Tm,0.997,0,871304,Si,0.489,0,579310,Pt,0.307,0,568566
824,24,NdNiP,III_IV,OTHER,Nd,1.15,0,1726797,Ni,0.335,0.934,1726243,P,0.555,0.366,1726520
825,0,SmPtAs,III_IV,OTHER,Sm,0.784,0,578047,As,0.366,0,828160,Pt,0.145,0,568542
826,1,TmNiPb,III_IV,MgSrSi (Pnma),Tm,0.747,0,871843,Ni,0.033,0,959477,Pb,0.562,,929329
827,2,CaMgAg,III_IV,MgSrSi (Pnma),Ca,0.562,0,877572,Mg,0.411,0,841961,Ag,0.162,0,937827
828,3,ZrFeSi,III_IV,MgSrSi (Pnma),Zr,1.216,0,988291,Fe,0.481,0,958777,Si,0.578,0,580615
829,4,GdNiSi,III_IV,MgSrSi (Pnma),Gd,1.117,,981633,Si,0.579,0,579463,Ni,0.298,0,960343
830,5,HfPdAs,III_IV,MoNiP (P-62m),Hf,0.368,0,863147,As,0.369,0,828254,Pd,0.324,0,898385
831,6,ZrNiGe,III_IV,MgSrSi (Pnma),Zr,0.828,0,987497,Ni,0.016,0.897,961345,Ge,0.485,0,868107
832,7,DyPtAs,III_IV,OTHER,Dy,0.685,,927348,As,0.32,0,582315,Pt,0.083,0,568247
833,8,LiIrIn,III_IV,OTHER,Li,0.458,0,881961,In,0.443,0,889769,Ir,0.339,0,894335
834,9,EuNiP,III_IV,OTHER,Eu,1.337,0,1726940,Ni,0.488,0,1726386,P,0.643,0,1726663
835,10,TmIrGa,III_IV,MgSrSi (Pnma),Tm,0.939,0,870375,Ga,0.569,0,951796,Ir,0.234,0,893636
836,11,TaCoAs,III_IV,MgSrSi (Pnma),Ta,0.636,0,962811,Co,0.188,0,860607,As,0.628,0,828253
837,12,HoIrGa,III_IV,MgSrSi (Pnma),Ho,0.956,0,890836,Ga,0.574,0,952368,Ir,0.247,0,892532
838,13,PrRhSb,III_IV,MgSrSi (Pnma),Pr,0.992,0,836634,Sb,0.59,0,917782,Rh,0.133,0,885991
839,14,NdPdSi,III_IV,OTHER,Nd,0.965,0,967928,Si,0.451,0,579437,Pd,0.326,,898630
840,15,LuPtBi,I_II,Half Heusler (F-43m),Lu,0.634,0,907705,Bi,0.641,0,977880,Pt,0,0,566252
